"Call No","Closed Date","Chargeable","Days With APT","Project Work","Quote Time","Time Hours Estimated","Time Hours Total"
"160562","5 Feb 2015","B","313","N","3","0.00","3.93"
"160828","25 Feb 2015","Y","69","N","63","0.00","61.78"
"160874","16 Oct 2015","Y","468","N","12","0.00","16.31"
"161011","10 Jun 2015","U","385","","0","4.00","14.74"
"161096","3 Aug 2015","Y","291","N","22","0.00","1.08"
"161097","6 May 2015","N","419","N","0","0.00","1.16"
"161145","2 Oct 2015","N","166","N","0","0.00","27.50"
"161157","18 Feb 2015","Y","183","N","4","0.00","5.82"
"161172","5 Feb 2015","U","224","","0","0.00","3.24"
"161179","3 Aug 2015","R","478","Y","0","0.00","44.75"
"161183","18 Feb 2015","N","360","Y","0","0.00","4.00"
"161184","3 Aug 2015","N","478","Y","0","0.00","0.00"
"161185","3 Aug 2015","U","478","Y","0","0.00","0.00"
"161190","18 Feb 2015","U","359","Y","0","0.00","64.24"
"161193","18 Nov 2015","Y","554","Y","0","0.00","0.00"
"161194","2 Dec 2015","Y","564","Y","0","0.00","0.00"
"161240","3 Aug 2015","U","475","Y","0","0.00","1498.39"
"161246","29 Jul 2015","N","469","N","0","0.00","0.08"
"161276","2 Jan 2015","U","299","Y","0","0.00","0.82"
"161334","11 Feb 2015","U","344","N","0","0.00","0.00"
"161340","27 May 2015","U","349","","0","0.00","1.90"
"161374","26 Aug 2015","Y","123","N","3","0.00","3.05"
"161433","5 Aug 2015","N","402","N","0","2.00","6.98"
"161546","11 Jun 2015","N","413","N","0","0.00","95.83"
"161558","3 Aug 2015","R","449","Y","0","0.00","0.00"
"161559","3 Aug 2015","R","449","Y","0","0.00","0.00"
"161560","3 Aug 2015","R","449","Y","0","0.00","1.33"
"161573","27 May 2015","Y","211","N","6","0.00","44.62"
"161622","3 Aug 2015","U","445","Y","0","0.00","367.23"
"161638","11 Nov 2015","Y","452","Y","0","0.00","20.16"
"161641","27 Mar 2015","N","353","N","0","0.00","1.50"
"161668","15 May 2015","U","387","Y","0","0.00","1611.57"
"161671","8 Jan 2015","N","272","N","0","0.00","4.41"
"161739","1 Apr 2015","U","2","N","0","0.00","0.16"
"161741","22 Jul 2015","N","96","","0","37.50","7.32"
"161745","30 Mar 2015","U","290","","0","7.50","8.82"
"161748","10 Sep 2015","N","8","N","0","0.00","1.83"
"161750","12 Oct 2015","N","184","N","0","3.00","3.41"
"161800","27 Feb 2015","U","299","","0","0.00","14.54"
"161833","29 Jan 2015","R","219","N","4","0.00","2.66"
"161838","7 Jan 2015","Y","285","","0","0.00","0.00"
"161852","9 Nov 2015","N","375","N","0","0.00","0.32"
"161985","26 Nov 2015","U","505","Y","0","0.00","0.00"
"161987","24 Nov 2015","U","503","Y","0","0.00","412.52"
"161992","27 May 2015","Y","149","N","9","0.00","9.82"
"162131","18 Aug 2015","R","0","","1","0.00","0.00"
"162141","10 Jul 2015","N","214","N","0","0.00","0.33"
"162154","28 Jan 2015","U","272","Y","0","0.00","0.00"
"162179","3 Aug 2015","U","403","Y","0","0.00","41.50"
"162186","21 Jan 2015","N","210","N","0","0.00","1.75"
"162209","5 Oct 2015","B","446","Y","0","0.00","16.00"
"162214","6 Aug 2015","R","399","","40","0.00","34.00"
"162230","20 Aug 2015","N","8","N","0","0.00","2.08"
"162324","20 Aug 2015","N","405","N","0","0.00","29.13"
"162391","10 Jul 2015","Y","268","Y","8","0.00","129.61"
"162450","20 Jan 2015","Y","154","N","3","0.00","5.64"
"162487","22 Jan 2015","R","49","N","5","0.00","6.81"
"162522","13 Feb 2015","U","260","Y","0","0.00","42.66"
"162552","4 Sep 2015","Y","109","","8","0.00","6.04"
"162559","23 Apr 2015","U","308","Y","0","0.00","4.41"
"162561","23 Apr 2015","Y","89","Y","0","0.00","0.00"
"162563","20 May 2015","R","12","Y","0","0.00","0.50"
"162568","5 Nov 2015","Y","366","Y","0","0.00","15.75"
"162637","9 Jan 2015","U","229","Y","0","0.00","628.17"
"162648","27 Jan 2015","Y","240","Y","0","0.00","0.16"
"162649","28 Jan 2015","N","233","N","0","0.00","4.82"
"162650","30 Mar 2015","N","9","N","0","0.00","0.00"
"162708","3 Aug 2015","R","362","N","0","0.00","0.00"
