"Call No","Closed Date","Chargeable","Days With APT","Project Work","Quote Time","Time Hours Estimated","Time Hours Total"
"169704","5 Jan 2016","N","43","N","0","0.00","1.74"
"169719","4 Feb 2016","N","39","N","0","0.00","4.15"
"169721","9 Feb 2016","U","31","","0","0.00","0.90"
"169730","6 Jan 2016","N","5","N","0","0.00","2.00"
"169732","10 Feb 2016","N","33","N","0","0.00","8.99"
"169752","13 Jan 2016","N","5","N","0","0.00","0.00"
"169791","14 Jan 2016","Y","34","","4","1.00","2.48"
"169801","13 Jan 2016","N","8","N","0","0.00","0.83"
"169808","16 Feb 2016","N","23","N","0","0.00","5.82"
"169814","10 Feb 2016","U","28","","0","0.00","2.37"
"169815","13 Jan 2016","N","2","N","0","0.00","2.74"
"169821","24 Feb 2016","U","15","","0","0.00","1.33"
"169824","11 Jan 2016","Y","13","N","4","2.00","1.73"
"169829","2 Feb 2016","R","18","","1","1.00","1.00"
"169831","12 Jan 2016","Y","2","N","1","1.00","1.57"
"169832","3 Feb 2016","Y","24","","2","2.00","4.32"
"169833","13 Jan 2016","N","0","N","0","0.00","0.16"
"169838","3 Feb 2016","Y","10","N","2","1.00","2.99"
"169846","17 Feb 2016","Y","68","N","1","0.00","1.57"
"169847","4 Jan 2016","N","10","N","0","0.00","0.33"
"169851","18 Jan 2016","N","46","N","0","0.00","0.16"
"169855","17 Feb 2016","U","35","N","0","0.00","1.49"
"169858","2 Feb 2016","U","45","","0","0.00","2.99"
"169861","13 Jan 2016","U","10","","0","0.00","1.08"
"169863","11 Feb 2016","Y","38","","0","0.00","0.99"
"169873","19 Jan 2016","Y","45","N","0","0.00","0.00"
"169878","18 Feb 2016","R","29","","2","1.00","0.74"
"169882","14 Jan 2016","Y","23","N","1","0.00","0.00"
"169884","3 Feb 2016","N","23","N","0","0.00","0.16"
"169885","13 Jan 2016","N","1","N","0","0.00","0.92"
"169893","8 Jan 2016","N","6","N","0","0.00","1.98"
"169897","5 Jan 2016","U","0","","0","0.00","0.08"
"169898","6 Jan 2016","Y","4","","2","1.00","1.15"
"169899","19 Feb 2016","N","22","N","0","0.00","1.00"
"169903","4 Jan 2016","Y","33","N","0","0.00","0.16"
"169907","13 Jan 2016","U","17","N","0","0.00","1.65"
"169909","13 Jan 2016","U","0","","0","0.00","1.00"
"169910","6 Jan 2016","N","0","N","0","0.00","0.16"
"169919","4 Jan 2016","N","8","N","0","0.00","6.65"
"169932","5 Jan 2016","Y","27","","3","0.00","0.16"
"169945","23 Feb 2016","R","61","","2","0.00","0.32"
"169946","3 Feb 2016","U","15","","0","0.00","4.22"
"169947","13 Jan 2016","N","5","N","0","0.00","0.33"
"169957","13 Jan 2016","N","1","N","0","0.00","1.40"
"169964","4 Jan 2016","N","21","N","0","0.00","0.08"
"169966","3 Feb 2016","N","31","N","0","0.00","2.08"
"169970","6 Jan 2016","U","19","","0","0.00","0.33"
"169971","20 Jan 2016","N","8","N","0","0.00","3.75"
"169973","13 Jan 2016","U","20","N","0","0.00","0.49"
"169974","10 Feb 2016","N","11","N","0","0.00","1.49"
"169979","12 Jan 2016","U","19","","0","0.00","1.83"
"169982","6 Jan 2016","U","12","","0","0.00","2.41"
"169985","26 Jan 2016","N","5","N","0","0.00","0.33"
"169986","17 Feb 2016","U","9","","0","0.00","2.57"
"169987","5 Jan 2016","N","4","N","0","0.00","2.74"
"169989","15 Jan 2016","N","14","N","0","0.00","0.25"
"169990","24 Feb 2016","N","3","N","0","0.00","0.66"
"170000","5 Jan 2016","U","0","","0","0.00","0.49"
"170001","5 Jan 2016","U","0","","0","0.00","0.16"
"170003","13 Jan 2016","N","1","N","0","0.00","0.58"
"170005","13 Jan 2016","U","1","","0","0.00","0.48"
"170007","3 Feb 2016","Y","4","N","5","0.00","1.83"
"170010","13 Jan 2016","N","13","","0","0.00","0.99"
"170014","13 Jan 2016","N","2","N","0","0.00","0.50"
"170019","19 Jan 2016","Y","37","Y","0","0.00","0.00"
"170021","8 Jan 2016","Y","19","N","1","0.00","2.66"
"170023","3 Feb 2016","N","7","N","0","0.00","2.07"
"170027","12 Jan 2016","U","15","","0","0.00","1.23"
"170028","14 Jan 2016","N","13","N","0","0.00","5.65"
"170030","20 Jan 2016","U","2","Y","0","0.00","0.91"
"170031","20 Jan 2016","N","2","N","0","0.00","0.83"
"170033","11 Feb 2016","Y","18","","3","0.00","2.48"
"170035","19 Jan 2016","Y","36","Y","0","0.00","0.00"
"170059","20 Jan 2016","N","0","N","0","0.00","0.91"
"170068","15 Jan 2016","Y","5","N","5","5.00","22.16"
"170070","5 Jan 2016","R","0","N","3","0.00","0.33"
"170071","23 Feb 2016","U","43","","0","0.00","4.41"
"170072","3 Feb 2016","N","3","N","0","0.00","4.06"
"170073","20 Jan 2016","N","0","N","0","0.00","0.16"
"170076","12 Jan 2016","U","1","","0","0.00","1.82"
"170080","10 Feb 2016","N","15","N","0","0.00","0.33"
"170081","24 Feb 2016","N","15","N","0","0.00","0.32"
"170082","18 Jan 2016","N","33","N","0","0.00","1.58"
"170089","24 Feb 2016","N","18","N","0","0.00","2.16"
"170100","11 Jan 2016","Y","4","N","0","0.00","0.41"
