"Product Code","Call No","Closed Date","Chargeable","Days With APT","Project Work"
"MS","165399","26 Mar 2015","N","74","N"
"MS","166905","15 Jul 2015","Y","74","Y"
"MS","168172","1 Dec 2015","U","74",""
"MS","168561","18 Nov 2015","Y","74","Y"
"MS","163522","21 Jan 2015","Y","75","N"
"VISAGE","164590","7 Jan 2015","Y","75",""
"MS","165231","13 May 2015","U","75",""
"INFORMER","166209","23 Sep 2015","N","75",""
"MS","166959","22 Jul 2015","Y","75","Y"
"MS","164530","13 Jan 2015","U","76",""
"MS","166961","24 Jul 2015","U","76",""
"MS","165748","12 May 2015","Y","77","N"
"MS","167055","25 Aug 2015","Y","77",""
"MS","167563","14 Sep 2015","Y","77","N"
"MS","164911","11 Feb 2015","N","78","N"
"INFORMER","165576","28 Apr 2015","U","78",""
"MS","166512","23 Sep 2015","Y","78","N"
"SP","167428","1 Oct 2015","U","78",""
"INFORMER","167466","19 Oct 2015","Y","78",""
"MS","167855","5 Oct 2015","N","78","N"
"MS","168028","5 Nov 2015","N","78",""
"MS","165274","24 Mar 2015","Y","79",""
"MS","165413","23 Jun 2015","Y","79",""
"MS","165417","16 Apr 2015","R","79",""
"INFORMER","165938","29 Jun 2015","U","79",""
"MS","167913","7 Oct 2015","B","79",""
"MS","168747","14 Dec 2015","Y","79","N"
"MS","168748","18 Dec 2015","N","79","N"
"VISAGE","165470","5 Aug 2015","U","80",""
"MS","166473","26 Aug 2015","Y","80","N"
"MS","167362","23 Dec 2015","Y","80",""
"MS","168567","30 Nov 2015","N","80","N"
"MS","163643","29 Apr 2015","N","81","N"
"MS","165757","14 May 2015","N","81","N"
"MS","166158","11 Jun 2015","R","81","N"
"MS","166262","9 Jul 2015","Y","81","N"
"SP","168281","16 Nov 2015","U","81",""
"VISAGE","166247","8 Sep 2015","R","82",""
"MS","166456","26 Jun 2015","N","82","N"
"MS","167854","5 Oct 2015","N","82","N"
"MS","167963","3 Nov 2015","Y","82","N"
"MS","168111","11 Nov 2015","Y","82",""
"MS","168192","5 Nov 2015","U","82",""
"MS","164510","8 Jan 2015","Y","83",""
"VISAGE","164618","4 Feb 2015","Y","83",""
"MS.WEB","167007","22 Sep 2015","N","83","N"
"PWF","167549","15 Sep 2015","Y","84","Y"
"MS","163605","25 Feb 2015","N","85","N"
"SP","164337","13 Jan 2015","Y","85","Y"
"MS","166970","6 Aug 2015","N","85","N"
"MS","164998","27 May 2015","N","86","N"
"MS","165160","31 Mar 2015","R","86",""
"MS","165343","7 Apr 2015","U","86","Y"
"SB","166263","23 Jun 2015","N","86","N"
"MS.WEB","166952","6 Aug 2015","U","86","Y"
"MS","167461","15 Sep 2015","N","86",""
"MS","168101","23 Dec 2015","Y","86",""
"VISAGE","163825","10 Feb 2015","Y","87",""
"MS","166451","23 Oct 2015","Y","87","N"
"MS","164717","23 Mar 2015","N","88","N"
"MS.WEB","165412","7 Oct 2015","U","88",""
